Metric,Value
launchTime_s,3.14
burnoutTime_s,8.36
apogeeTime_s,8.48
landingTime_s,9.98
maxKFAltitude_m,1.17999999999998
maxBaroRelAltitude_m,1.17999999999998
maxVerticalVelocity_mps,177.499999999999
minVerticalVelocity_mps,-48.5000000000014
maxVerticalAccel_mps2,53.4160857626602
minVerticalAccel_mps2,-51.3440195854628
meanSamplePeriod_s,0.02
stdSamplePeriod_s,1.95016074302084e-15
numGapSamples,0
numBadCovarianceSamples,2150
numMissingBaroSamples,0
numMissingImuSamples,0
numMissingLisSamples,0
numMissingEstimatorSamples,0
finalAltitudeSigma_m,0
finalVelocitySigma_mps,0
replay_innovation_bias_m,-161.760232952204
replay_innovation_rmse_m,201.262468298843
replay_innovation_coverage_3sigma,0.0637209302325581
replay_mean_nis,3344.43066613186
replay_num_baro_attempts,2150
replay_num_baro_rejections,2000
replay_baro_acceptance_rate,0.0697674418604651
replay_baro_rejection_rate,0.930232558139535
replay_final_accel_bias_mps2,-18.6804059469784
replay_mean_accel_bias_mps2,-18.7262575766681
replay_final_accel_bias_sigma_mps2,0.0699589586645164
replay_final_beta,0.08
replay_mean_beta,0.0560781218055891
replay_final_beta_sigma,0.00444448792503721
replay_beta_learning_fraction,0.926976744186046
replay_baro_gate_threshold_nis,16
attitude_gravity_update_fraction,0.872093023255814
attitude_gravity_innovation_rms,0.214137313507494
attitude_gravity_residual_rms_mps2,8.25336759162861
gravity_update_fraction,0.872093023255814
gravity_innovation_rms,0.214137313507494
gravity_residual_rms_mps2,8.25336759162861
final_roll_deg,165.576307597778
final_pitch_deg,-1.99333798104343
final_yaw_deg,-72.942497467552
final_gyro_bias_x_rps,0.00377268449128859
final_gyro_bias_y_rps,0.00819043521745809
final_gyro_bias_z_rps,0.0210751357783472
